smiles,substructures
CCC(C)C(N)c1cn(C(Cc2ccc(O)cc2)C(=O)N2CCN(c3nc(NCCOCCOCCOCc4cn(CCOCCOCCOCCOCCOCCNC(=O)CN5CCN(C(=O)N6C(c7ccc(OC)cc7OC(C)C)=NC(c7ccc(Cl)cc7)C6c6ccc(Cl)cc6)CC5=O)nn4)nc(N4CCN(C(=O)C(Cc5ccc(O)cc5)n5cc(C(N)C(C)CC)nn5)CC4)n3)CC2)nn1,[*:1]Nc1nc(N2CCN(C(=O)C(Cc3ccc(O)cc3)n3cc(C(N)C(C)CC)nn3)CC2)nc(N2CCN(C(=O)C(Cc3ccc(O)cc3)n3cc(C(N)C(C)CC)nn3)CC2)n1.[*:2]N1CCN(C(=O)N2C(c3ccc(OC)cc3OC(C)C)=NC(c3ccc(Cl)cc3)C2c2ccc(Cl)cc2)CC1=O.[*:2]CC(=O)NCCOCCOCCOCCOCCOCCn1cc(COCCOCCOCC[*:1])nn1
CCC(C)C(N)c1cn(C(Cc2ccc(O)cc2)C(=O)N2CCN(c3nc(NCCOCCOCCOCc4cn(CCCCCC(=O)Nc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)nn4)nc(N4CCN(C(=O)C(Cc5ccc(O)cc5)n5cc(C(N)C(C)CC)nn5)CC4)n3)CC2)nn1,[*:1]Nc1nc(N2CCN(C(=O)C(Cc3ccc(O)cc3)n3cc(C(N)C(C)CC)nn3)CC2)nc(N2CCN(C(=O)C(Cc3ccc(O)cc3)n3cc(C(N)C(C)CC)nn3)CC2)n1.[*:2]Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O.[*:2]C(=O)CCCCCn1cc(COCCOCCOCC[*:1])nn1
CCn1nc(C2CC2)cc1Nc1nc(C(=O)NCCCCNC(=O)COc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)nc2[nH]c3cc(-c4c(C)noc4C)c(OC)cc3c12,[*:1]c1nc(Nc2cc(C3CC3)nn2CC)c2c(n1)[nH]c1cc(-c3c(C)noc3C)c(OC)cc12.[*:2]c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O.[*:2]OCC(=O)NCCCCNC(=O)[*:1]
CNC(C)C(=O)NC(C(=O)N1CC(NC(=O)CCCCCCCCCn2cc(Nc3ncc(Cl)c(NCc4cc(F)ccc4F)n3)cn2)CC1C(=O)NC1CCCc2ccccc21)C1CCCCC1,[*:1]Cn1cc(Nc2ncc(Cl)c(NCc3cc(F)ccc3F)n2)cn1.[*:2]NC1CC(C(=O)NC2CCCc3ccccc32)N(C(=O)C(NC(=O)C(C)NC)C2CCCCC2)C1.[*:2]C(=O)CCCCCCCC[*:1]
O=C1CCC(N2Cc3c(NC(=O)CCCCCCCCCn4cc(Nc5ncc(Cl)c(NCc6cc(F)ccc6F)n5)cn4)cccc3C2=O)C(=O)N1,[*:1]Cn1cc(Nc2ncc(Cl)c(NCc3cc(F)ccc3F)n2)cn1.[*:2]Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O.[*:2]C(=O)CCCCCCCC[*:1]
CNC(C)C(=O)NC(C(=O)N1CC(NC(=O)COCCOCCOCCOCCn2cc(Nc3ncc(Cl)c(NCc4cc(F)ccc4F)n3)cn2)CC1C(=O)NC1CCCc2ccccc21)C1CCCCC1,[*:2]NC1CC(C(=O)NC2CCCc3ccccc32)N(C(=O)C(NC(=O)C(C)NC)C2CCCCC2)C1.[*:2]C(=O)COCCOCCOCCOC[*:1].[*:1]Cn1cc(Nc2ncc(Cl)c(NCc3cc(F)ccc3F)n2)cn1
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)COCCOCCOCCOCCn2cc(Nc3ncc(Cl)c(NCc4cc(F)ccc4F)n3)cn2)C(C)(C)C)cc1,[*:2]NC(C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C.[*:2]C(=O)COCCOCCOCCOC[*:1].[*:1]Cn1cc(Nc2ncc(Cl)c(NCc3cc(F)ccc3F)n2)cn1
O=C1CCC(N2Cc3c(NC(=O)COCCOCCOCCOCCn4cc(Nc5ncc(Cl)c(NCc6cc(F)ccc6F)n5)cn4)cccc3C2=O)C(=O)N1,[*:1]Cn1cc(Nc2ncc(Cl)c(NCc3cc(F)ccc3F)n2)cn1.[*:2]Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O.[*:2]C(=O)COCCOCCOCCOC[*:1]
CNC(C)C(=O)NC(C(=O)N1CC(NC(=O)CCCCCCCCCOc2cc(F)cc(CNc3nc(Nc4cnn(C)c4)ncc3Cl)c2F)CC1C(=O)NC1CCCc2ccccc21)C1CCCCC1,[*:1]c1cc(F)cc(CNc2nc(Nc3cnn(C)c3)ncc2Cl)c1F.[*:2]NC1CC(C(=O)NC2CCCc3ccccc32)N(C(=O)C(NC(=O)C(C)NC)C2CCCCC2)C1.[*:2]C(=O)CCCCCCCCCO[*:1]
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)CCCCCCCCCOc2cc(F)cc(CNc3nc(Nc4cnn(C)c4)ncc3Cl)c2F)C(C)(C)C)cc1,[*:2]NC(C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C.[*:2]C(=O)CCCCCCCCCO[*:1].[*:1]c1cc(F)cc(CNc2nc(Nc3cnn(C)c3)ncc2Cl)c1F
